Code,Site,Reg,Lat,Lon,PopEstADPE,PopEstCHPE,PopEstGEPE,PopEstPygo,PopEstANSH,Comments
TWGI,Three islands west of Gerlache Island,Central-west Antarctic Peninsula,-64.5921,-64.2471,0,1133.333333,0,1133.333333,22,
TSIS,Three Sisters,South Shetland Islands,-62.0779,-57.9135,471.6909494,0,0,471.6909494,0,
THUN,Thunder Bay,Elephant Island,-61.312,-54.117,0,20000,0,20000,0,
TORG,Torgersen Island,Central-west Antarctic Peninsula,-64.7731,-64.0741,8528,0,0,8528,0,
TOUR,Tournachon Rocks,Central-west Antarctic Peninsula,-64.318889,-61.119167,0,0,0,0,15,
TOWE,Tower Island (east),Northwest Antarctic Peninsula,-63.591,-59.779,0,1.333333333,0,1.333333333,0,
TOWW,Tower Island (west),Northwest Antarctic Peninsula,-63.56,-59.876,0,1500,0,1500,0,
TRIA,Triangle Point,South Shetland Islands,-62.522,-59.839,0,0,45,45,10,
TIEA,Trinity Island (east),Central-west Antarctic Peninsula,-63.883,-60.683,0,2,0,2,0,
TINW,Trinity Island (northwest),Central-west Antarctic Peninsula,-63.711,-60.749,0,670,0,670,50,Includes shags listed as Milburn Bay
TISW,Trinity Island (southwest),Central-west Antarctic Peninsula,-63.9,-60.879,0,604.030334,0,604.030334,12,
TIWE,Trinity Island (west),Central-west Antarctic Peninsula,-63.833,-60.829,0,700,0,700,0,
TROW,Trowbridge Islands,South Shetland Islands,-61.996,-57.6304,0,6308,0,6308,0,
TRUA,Truant Island,Central-west Antarctic Peninsula,-64.923,-63.407,0,0,1108.666447,1108.666447,4,
TRUN,Trundle Island,Southwest Antarctic Peninsula,-65.3938,-65.2885,311.2608736,0.988707893,0,312.2495815,71,
TUPI,Tupinier Island,Northwest Antarctic Peninsula,-63.3702,-58.2669,0,15000,0,15000,68,
TURR,Turret Point (King George Island),South Shetland Islands,-62.0875,-57.9514,91.49801332,17.08759426,0,108.5856076,18,
TXRX,Tuxen Rocks,Central-west Antarctic Peninsula,-65.2549,-64.1334,0,0,42.8154749,42.8154749,0,
TWIN,Twintits Stack,Elephant Island,-61.18,-55.402,0,100,0,100,0,
HUMM,Two Hummock Island,Central-west Antarctic Peninsula,-64.1362,-61.7033,0,3000,0,3000,0,
TPTN,Two points north of Cape Hooker,South Shetland Islands,-63.319,-61.951,0,66.66666667,0,66.66666667,0,
UCHA,Uchatka Point,South Shetland Islands,-62.22,-58.439,0,745,0,745,0,
UICW,Unnamed island off Cape Wallace,South Shetland Islands,-63.2322,-62.1783,0,33333.33333,0,33333.33333,40,I think the location in MAPPPD is slightly off
UIEL,Unnamed island off Elephant Point,South Shetland Islands,-62.6,-60.502,0,333.3333333,0,333.3333333,0,
SMAT,Unnamed islands (South of Matthews Island),South Orkney Islands,-60.742,-45.154,0,11500,0,11500,0,
UPPR,Upper Island,Southwest Antarctic Peninsula,-66.0075,-65.6414,0,0,0,0,0,Not actually zero for shags but no number available
URUG,Uruguay Island,Central-west Antarctic Peninsula,-65.2325,-64.223056,0,0,0,0,29,
USEF,Useful Island,Central-west Antarctic Peninsula,-64.717,-62.864,0,135.3543573,1951.9493,2087.303657,27,
VAIS,Valette Island,South Orkney Islands,-60.758,-44.622,0,4000,0,4000,0,
VAPO,Vapour Col (Deception Island),South Shetland Islands,-62.992,-60.721,0,16405.70004,0,16405.70004,0,
VERN,Vernadsky Station,Central-west Antarctic Peninsula,-65.2453,-64.2567,0,0,288.1302463,288.1302463,0,
VIET,Vietor Rock,South Shetland Islands,-62.6831,-61.0981,0,133.3333333,0,133.3333333,0,
VRNW,Vietor Rock (northwest),South Shetland Islands,-62.6746,-61.1021,0,66.66666667,0,66.66666667,0,
VIEU,Vieugue Island,Southwest Antarctic Peninsula,-65.6682,-65.2144,336.1138592,0,0,336.1138592,0,
VIZE,Vize Islands,Southwest Antarctic Peninsula,-65.6739,-65.5864,0,0,0,0,20,
VORT,Vortex Island,Northeast Antarctic Peninsula,-63.7257,-57.6415,3644.568513,0,0,3644.568513,0,
WALK,Walker Point,Elephant Island,-61.143,-54.697,0,520,0,520,0,
WATE,Waterboat Point,Central-west Antarctic Peninsula,-64.8236,-62.8581,0,2.91681763,4262.031288,4264.948106,1,
WPEC,Watson Peninsula (east coast),South Orkney Islands,-60.6761,-44.5436,1194.896581,11250,10,12454.89658,99,Unsure which of the Watson Peninsula sites have the shags so picked the one with more birds
